variable,cluster,count,percentage,mean_value
sdg_index_2024,HH 高值集聚,7718,25.590185676392572,0.5680864514939886
sdg_index_2024,LL 低值集聚,7511,24.903846153846153,0.29099758753119803
sdg_index_2024,HL 高值-低邻,36,0.11936339522546419,0.45403451846464704
sdg_index_2024,LH 低值-高邻,119,0.39456233421750664,0.4007131622059161
sdg_index_2024,Not significant,14776,48.9920424403183,0.4182427670197884
change_rate_2010_2024,HH 高值集聚,4648,15.411140583554378,9.37470214912667
change_rate_2010_2024,LL 低值集聚,4479,14.850795755968168,-7.879466980879571
change_rate_2010_2024,HL 高值-低邻,460,1.5251989389920424,4.722211943701915
change_rate_2010_2024,LH 低值-高邻,424,1.4058355437665782,-0.6800486033575455
change_rate_2010_2024,Not significant,20149,66.80702917771883,1.8462551921005594
